State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,Outlier_Score,Local_Moran_Significant,Getis_Ord_Significant,Isolation_Forest_Outlier
Osun,AYEDAADE,OBALUFON,29-03-09-010,"ABEWELA VILLAGE, ABEWELA VILLAGE",58,114,2,0,7.138339,4.2128337,2,True,True,False
Osun,BORIPE,ISALE-OYO,29-06-04-001,"N.U.D. PRIMARY SCHOOL, IRAGBIJI",237,52,3,0,7.8998575,4.6926794,2,False,True,True
Osun,IFE CENTRAL,IREMO III,29-11-07-021,OPEN SPACE BESIDE ST. PETER'S PRY SCH OJATUNTUN,30,4,1,0,7.4870951,4.5514827,2,True,True,True
Osun,IFE CENTRAL,IREMO III,29-11-07-020,OPEN SPACE ADJACENT CHRIST FISHER'S ONIREKE,16,8,3,0,7.4870951,4.5514827,2,True,True,True
Osun,AYEDAADE,ANLUGBUA,29-03-10-014,"OPE AYOOLA, OPE AYOOLA VILLAGE",21,9,1,0,7.2002947,4.3323521,2,True,True,True
Osun,AYEDAADE,ANLUGBUA,29-03-10-015,"GBONA, GBONNA VILLAGE",83,130,1,0,7.2125391,4.3256918,2,True,True,False
Osun,IFE CENTRAL,IREMO II (ELEYELE),29-11-06-020,OPEN SPACE OLORUNSOGO T-JUNCTION ELEYELE,100,30,37,0,7.4986919,4.5392361,2,True,True,True
Osun,AYEDAADE,ANLUGBUA,29-03-10-018,"ALAGBEDE, ALAGBEDE VILLAGE",29,24,1,0,7.2165932,4.3412607,2,True,True,True
Osun,AYEDAADE,ANLUGBUA,29-03-10-020,"ALAGUNTAN, ALAGUNTAN VILLAGE",58,7,2,0,7.2125391,4.3256918,2,True,True,True
Osun,IFELODUN,OKEBA IKIRUN,29-14-07-005,SAVIOUR'S PRY. SCHOOL II,83,97,3,0,7.938852,4.6502012,2,True,True,False
Osun,ILESA EAST,IMO,29-18-02-003,LOCAL GOVERNMENT DISPENSARY PREMISES,132,109,28,0,7.6295185,4.7686527,2,True,True,False
Osun,EDE NORTH,ASUNMO,29-07-10-008,OPEN SPACE ALUBO OKE-OGOSUN.,46,84,0,0,7.729243,4.4696765,2,True,True,False
Osun,AYEDIRE,OLUPONNA  1I,29-04-02-004,ODE OTE/EJEMU MARKET,78,70,0,0,7.6101992,4.1949013,2,True,True,False
Osun,AYEDIRE,OKE-OSUN,29-04-04-001,"CHRIST ANGLICAN SCHOOL, ELESIN",145,157,0,0,7.5383485,4.2718177,2,True,True,False
Osun,AYEDIRE,OKE-OSUN,29-04-04-005,"N.U.D. SCHOOL, ILEIRAN",139,201,0,0,7.5581613,4.264103,2,True,True,False
Osun,BORIPE,COLLEGE/EGBADA ROAD,29-06-03-016,OPEN SPACE BY OWODE MARKET SQUARE,102,68,0,0,7.897924,4.6682867,2,True,True,False
Osun,BORIPE,COLLEGE/EGBADA ROAD,29-06-03-014,"OPEN SPACE, IDI ISAKAGBA JUNCTION.",204,29,3,0,7.8358911,4.6347041,2,True,True,True
Osun,AYEDAADE,ODE-OMU RURAL,29-03-08-002,"D.C. SCHOOL, LASOLEI, LASOLE VILLAGE",70,1,0,0,7.5412444,4.3934376,2,True,True,False
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-015,AKINJEPO VILLAGE,0,0,0,0,7.4386611,4.3359635,2,True,True,True
Osun,IFE NORTH,EDUNABON  I,29-15-02-007,OLOBA/BALOGUN,0,0,0,0,7.5829793,4.4851265,2,False,True,True
Osun,OSOGBO,ATAOJA  'C',29-30-03-017,"OPEN SPACE, INFRONT OF MTN MAST OPP. NO. 2 JALEYEMI AREA, OSOGBO",45,70,7,0,7.7682931,4.5461595,2,True,True,True
Osun,IFE SOUTH,OSI,29-16-08-006,"ABA JOSHUA PRY. SCHOOL, ABA JOSHUA II",0,0,0,0,7.253574,4.5315029,2,True,True,True
Osun,ATAKUMOSA EAST,IPERINDO,29-01-04-008,OPEN SPACE AYENI/TEMIDIRE,22,72,1,0,7.4956801,4.8235509,2,True,True,False
Osun,OSOGBO,ATAOJA  'E',29-30-05-037,"OPEN SPACE, SALVATION ARMY PRY.SCHOOL CAR PARK, OSOGBO",2,7,5,0,7.7704564,4.5515633,2,True,True,True
Osun,IFE SOUTH,OSI,29-16-08-004,"MATERNITY CENTRE, ISOYA",88,103,3,0,7.253574,4.5315029,2,True,True,False
Osun,ATAKUMOSA WEST,OSU  III,29-02-03-004,"PRY. SCHOOL, ITAMERIN",31,89,3,0,7.5708836,4.6088854,2,True,True,False
Osun,ILA,EJIGBO  I,29-17-01-006,POST OFFICE,51,52,0,0,8.0290542,4.8416936,2,True,True,False
Osun,ILA,EJIGBO  I,29-17-01-013,ARAROMI II,51,70,0,0,8.0290542,4.8416936,2,True,True,False
Osun,ATAKUMOSA WEST,ITAGUNMODI,29-02-06-003,ALABA/OWENA VILLAGE (OPEN SPACE) ,61,136,4,1,7.5289301,4.6492325,2,True,True,False
Osun,IFE SOUTH,OLODE,29-16-07-010,"UNITED L.A. SCHOOL, LABATA",69,110,5,0,7.3243901,4.6691548,2,True,True,False
Osun,ILA,EJIGBO  III,29-17-03-003,AJABA JUNCTION,151,228,6,0,8.0015687,4.8676221,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-023,"LOCAL HEALTH AUTHORITY, POWERLINE AJEBAMIDELE",18,11,4,0,7.4836043,4.530369,2,True,True,True
Osun,IFE SOUTH,IKIJA  II,29-16-03-005,"COMMUNITY PRY. SCHOOL, MOSAFEJO  II",16,22,4,0,7.2357189,4.70189,2,True,True,True
Osun,AYEDAADE,BALOGUN,29-03-01-005,"MOLUBERIN JUNCTION, NEW ROAD AREA, GBONGAN",177,97,0,0,7.4752551,4.3523052,2,True,True,False
Osun,IFE CENTRAL,MOORE OJAJA,29-11-11-020,"OPEN SPACE OPP. C.A.C. OKE-ISEGUN, MOORE",86,43,2,0,7.5554803,4.5315029,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-029,"OPEN SPACE , ALL SOULS CHAPEL ( UNDER NEEM TREE)",1,9,4,0,7.5554803,4.5315029,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-028,OPEN SPACE MOTION GROUND OAU,34,4,60,1,7.5185596,4.5228445,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-027,OPEN SPACE BASKET BALL COURT BLOCK 3,11,4,26,0,7.5554803,4.5315029,2,True,True,True
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-003,WAKAJAIYE I,83,109,3,0,7.4386611,4.3359635,2,True,True,False
Osun,AYEDAADE,GBONGAN RURAL,29-03-07-005,"OLOBA VILLAGE, OLOBA VILLAGE",76,4,2,0,7.4386611,4.3359635,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-025,HOLY SAVIOUR PRY SCH FASINA,44,12,12,1,7.4793407,4.5441827,2,True,True,True
Osun,BORIPE,COLLEGE/EGBADA ROAD,29-06-03-012,AJANI OKIN PRIMARY SCHOOL,253,44,1,0,7.8358911,4.6347041,2,True,True,True
Osun,IFE CENTRAL,ILARE IV,29-11-04-012,METHODIST PRY. SCHOOL,135,110,7,15,7.4900329,4.5528526,2,True,True,False
Osun,ILESA EAST,ILERIN,29-18-09-008,ILERIN ROAD,0,0,0,0,7.6341986,4.7536277,2,True,True,True
Osun,OSOGBO,BABA KEKERE,29-30-11-005,"24,OKOKI IFEDODUN",122,107,1,0,7.7660253,4.5779191,2,True,True,False
Osun,ILESA WEST,ISOKUN,29-19-05-006,GEORGE BURTON COLLEGE I,129,116,57,0,7.6535175,4.7443699,2,True,True,False
Osun,OSOGBO,BABA KEKERE,29-30-11-008,"18, FAGBEMI STREET",181,118,2,2,7.7660253,4.5779191,2,True,True,False
Osun,OSOGBO,JAGUN 'A',29-30-09-007,"22, OLUGUNNA STREET",93,102,0,0,7.7648921,4.5628772,2,True,True,False
Osun,ILESA EAST,UPPER & LOWER IJOKA,29-18-06-007,"FEDERAL TECHNICAL COLLEGE, CAPAA II",0,0,14,0,7.6358779,4.7545983,2,True,True,True
Osun,IFE EAST,MODAKEKE  III,29-13-10-004,"C.A.C PRY. SCHOOL, ONDO ROAD",0,0,0,0,7.482357,4.5363665,2,True,True,True
Osun,OSOGBO,BABA KEKERE,29-30-11-006,"24,OKOKI IFEDODUN",129,159,0,0,7.7660253,4.5779191,2,True,True,False
Osun,BORIPE,COLLEGE/EGBADA ROAD,29-06-03-009,"L.A. SCHOOL, EESADEE",320,67,0,0,7.8358911,4.6347041,2,True,True,True
Osun,OSOGBO,OTUN BALOGUN 'A',29-30-14-005,L.A. PRY. SCHOOL  I,134,100,5,1,7.7654948,4.571777,2,True,True,False
Osun,IFE EAST,MODAKEKE  III,29-13-10-002,"AKODI IJEDU I, IJEDU AREA",0,0,0,0,7.4853287,4.526348,2,True,True,True
Osun,AYEDIRE,ILEOGBO  IV,29-04-08-004,AYI OPEN SPACE,164,205,6,0,7.6312421,4.2564094,2,True,True,True
Osun,ILA,EJIGBO  III,29-17-03-007,OGUNLADE JUNCTION,175,294,12,0,8.0045209,4.8924854,1,False,False,True
Osun,IWO,ISALE OBA  III,29-23-03-006,"HOSPITAL ROAD, KUTI JUNCTION",111,163,31,0,7.6316916,4.2102716,1,True,True,False
Osun,ILA,EJIGBO  III,29-17-03-006,NEW GARAGE,129,189,3,0,8.0015687,4.8676221,1,True,True,False
Osun,ILA,EJIGBO  III,29-17-03-005,ONIFADE JUNCTION,119,155,6,0,8.0015687,4.8676221,1,True,True,False
Osun,IWO,ISALE OBA  III,29-23-03-008,PANADA,157,143,2,0,7.6316916,4.2102716,1,True,True,False
Osun,IWO,ISALE OBA  III,29-23-03-004,"D.C PRY. SCHOOL, AJANGBALA II",91,84,1,0,7.6401303,4.1769749,1,True,True,False
Osun,IREWOLE,IKIRE 'F',29-21-06-006,"OOSAFAFIOYE OPEN SPACE, MORINGBERE, IKIRE",156,166,4,0,7.4366325,4.2666678,1,True,True,False
Osun,ILESA WEST,EREJA,29-19-09-004,TIPPER OWNERS,69,71,2,0,7.6255599,4.7400419,1,True,True,False
Osun,ILA,ISEDO  I,29-17-04-005,OLOJAGBELE II,22,33,1,0,8.0009562,4.9195154,1,False,False,True
Osun,IWO,ISALE OBA  I,29-23-01-004,"A.U.D. PRY. SCHOOL, AKINFENWA IV",173,99,1,0,7.6252123,4.1808158,1,True,True,False
Osun,IWO,ISALE OBA  I,29-23-01-001,"A.U.D. PRY. SCHOOL, AKINFENWA I",269,178,3,0,7.6252123,4.1808158,1,False,False,True
Osun,ISOKAN,ASALU (MOGIMOGI),29-22-08-004,AFRICAN PRIMARY SCHOOL,165,1,10,0,7.3469464,4.1908193,1,False,False,True
Osun,ISOKAN,ALAPOMU  I (ODO-OSUN),29-22-06-002,ST. BARNABAS PRY. SCHOOL,201,148,6,1,7.3241893,4.1846569,1,False,False,True
