State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-006,"ST. JOHN PRY. SCHOOL, IDADO",253,574,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,132,9,99,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677363065.pdf,"ST. JOHN PRY. SCHOOL, IDADO, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-002,TOWN HALL IPERINDO II,228,960,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,83,1,136,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95952/result_37845_1677600453_thumb.jpg,"TOWN HALL IPERINDO II, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.491834,4.7870039
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO",222,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,75,3,141,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95953/result_37846_1677589275_thumb.jpg,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-004,MATT. CENT AGO ISEGUN,194,532,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,16,0,176,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95954/result_37847_1677596401_thumb.jpg,"MATT. CENT AGO ISEGUN, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-006,"COMM. PRY. SCHOOL, KAJOLA",145,731,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,24,1,120,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24392/pu/97057/97057-1677581112.pdf,"COMM. PRY. SCHOOL, KAJOLA, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-007,"CENT. PRY. SCHOOL, AASA",252,724,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,0,246,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95957/result_37850_1677589766_thumb.jpg,"CENT. PRY. SCHOOL, AASA, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-008,OPEN SPACE AYENI/TEMIDIRE,95,359,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,22,1,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/008/008-1677370358.pdf,"OPEN SPACE AYENI/TEMIDIRE, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-001,ETI ONI OPEN SPACE,114,536,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,1,106,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677368853.pdf,"ETI ONI OPEN SPACE, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-002,"L.A. PRY. SCHOOL, ALADODO",132,490,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,3,125,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677370229.pdf,"L.A. PRY. SCHOOL, ALADODO, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.392688,4.767194
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-003,"ANG. PRY. SCHOOL, ALARERE",174,724,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,0,165,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677371308.pdf,"ANG. PRY. SCHOOL, ALARERE, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.395267,4.688764
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-004,COURT HALL ITAPA,249,815,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,0,238,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/004/004-1677370933.pdf,"COURT HALL ITAPA, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.4174486,4.763334
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-005,"MATERNITY CENTRE, ILORO",196,673,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,81,0,113,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/005/005-1677371731.pdf,"MATERNITY CENTRE, ILORO, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.346617,4.722117
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-006,OPEN SPACE TEMIDIRE I,170,628,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,0,157,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677372090.pdf,"OPEN SPACE TEMIDIRE I, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-007,"OPEN SPACE, TEMIDIRE II",171,554,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,0,162,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/007/007-1677369401.pdf,"OPEN SPACE, TEMIDIRE II, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-002,"L.A. PRY. SCHOOL, AJIDO",221,667,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,71,0,144,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24394/pu/97068/97068-1677521849.pdf,"L.A. PRY. SCHOOL, AJIDO, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.464506,4.762519
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-004,C.A.C. PRY. SCHOOL AKANNI,84,379,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,0,78,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/004/004-1677363161.pdf,"C.A.C. PRY. SCHOOL AKANNI, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.446358,4.790128
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-006,ITAMERIN,95,400,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,29,0,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/006/006-1677423651.pdf,"ITAMERIN, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.4664825,4.7795149
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-003,SOKOTO I,213,591,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,80,2,130,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/003/003-1677366589.pdf,"SOKOTO I, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-005,SOKOTO S.B OJO,143,312,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,68,0,75,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/005/005-1677365274.pdf,"SOKOTO S.B OJO, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-006,SOKOTO S.B OJO,143,312,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,155,3,102,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/005/005-1677365274.pdf,"SOKOTO S.B OJO, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-007,OWADA,70,170,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,34,1,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/007/007-1677367229.pdf,"OWADA, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-002,GRAMMAR SCHOOL ALAKA,252,619,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,153,0,95,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/002/002-1677364614.pdf,"GRAMMAR SCHOOL ALAKA, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-003,L.A. SCHOOL LABOSIPO,215,579,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,122,0,92,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/003/003-1677363036.pdf,"L.A. SCHOOL LABOSIPO, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-004,TIMOLAJA AROWOJOBE,235,607,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,76,0,151,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/004/004-1677367605.pdf,"TIMOLAJA AROWOJOBE, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-005,L.A. SCHOOL AREWA,131,319,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,56,1,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/005/005-1677383618.pdf,"L.A. SCHOOL AREWA, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-004,AGBON JEGEDE,157,589,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,0,149,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677361654.pdf,"AGBON JEGEDE, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-005,"SURAJU PRY. SCHOOL, ERINSEBIJA",109,380,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,0,103,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/005/005-1677362122.pdf,"SURAJU PRY. SCHOOL, ERINSEBIJA, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-006,COMM. PRY. SCHOOL OMI-ODO,88,229,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,0,80,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/006/006-1677361775.pdf,"COMM. PRY. SCHOOL OMI-ODO, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062
