State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m,Local_Moran_I,Local_Moran_p,Local_Moran_Significant,Local_Moran_Outlier,Getis_Ord_Gi,Getis_Ord_p,Getis_Ord_Significant,Getis_Ord_HotSpot,Getis_Ord_ColdSpot,Isolation_Forest_Score,Isolation_Forest_Outlier,Outlier_Score
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-004,"L.A. SCHOOL, IMOGBARA",206,478,True,-1,False,True,False,False,UNKNOWN,88,2,104,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677396946.pdf,"L.A. SCHOOL, IMOGBARA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.0837144278472521,-1,-1,-1,0.0373336913521644,0.21,False,False,0.3536291164510133,0.229,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-005,OPEN SPACE IROGBO/IJEMBA,200,613,True,-1,True,True,False,False,UNKNOWN,75,0,105,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677363305.pdf,"OPEN SPACE IROGBO/IJEMBA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5703625,4.8141579,0.1321277511945092,0.0840229060658959,-1,-1,-1,0.0435092346989182,0.211,False,False,0.3498803207927888,0.231,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-006,"ST. JOHN PRY. SCHOOL, IDADO",253,574,True,-1,True,False,False,False,UNKNOWN,132,9,99,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677363065.pdf,"ST. JOHN PRY. SCHOOL, IDADO, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.0837144278472521,-1,-1,-1,0.0043381717377047,0.203,False,False,0.3723738643753891,0.217,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-002,TOWN HALL IPERINDO II,228,960,True,-1,False,False,False,False,UNKNOWN,83,1,136,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95952/result_37845_1677600453_thumb.jpg,"TOWN HALL IPERINDO II, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.491834,4.7870039,0.1307571703128568,0.0835489793608093,-1,-1,1,0.263184493441673,0.203,False,False,0.3727246664119535,0.214,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO",222,750,True,-1,False,False,False,False,UNKNOWN,75,3,141,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95953/result_37846_1677589275_thumb.jpg,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.1308242974212178,0.0841868448425357,0,0,2,0.7765469459417779,0.025,True,False,0.9703034768424,0.024,True,True,False,1,False,1
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-004,MATT. CENT AGO ISEGUN,194,532,True,-1,False,False,False,False,UNKNOWN,16,0,176,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95954/result_37847_1677596401_thumb.jpg,"MATT. CENT AGO ISEGUN, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.1308242974212178,0.0841868448425357,0,0,2,1.222472575633085,0.041,True,False,0.8393431250560166,0.05,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-006,"COMM. PRY. SCHOOL, KAJOLA",145,731,True,-1,False,False,False,False,UNKNOWN,24,1,120,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24392/pu/97057/97057-1677581112.pdf,"COMM. PRY. SCHOOL, KAJOLA, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.1308242974212178,0.0841868448425357,0,0,2,0.4259736952039246,0.015,True,False,1.0489350802927389,0.019,True,True,False,1,False,1
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-007,"CENT. PRY. SCHOOL, AASA",252,724,True,-1,False,True,False,False,UNKNOWN,2,0,246,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95957/result_37850_1677589766_thumb.jpg,"CENT. PRY. SCHOOL, AASA, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.1308242974212178,0.0841868448425357,0,0,2,1.5954621292465176,0.105,False,False,0.5774967802901112,0.113,False,False,False,-1,True,1
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-008,OPEN SPACE AYENI/TEMIDIRE,95,359,True,-1,False,False,False,False,UNKNOWN,22,1,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/008/008-1677370358.pdf,"OPEN SPACE AYENI/TEMIDIRE, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.1308242974212178,0.0841868448425357,0,0,2,-0.6091420302251183,0.006,True,True,1.2289216520002235,0.012,True,True,False,1,False,2
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-001,ETI ONI OPEN SPACE,114,536,True,-1,False,False,False,False,UNKNOWN,5,1,106,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677368853.pdf,"ETI ONI OPEN SPACE, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688,0.1289664921709079,0.0830003333651157,-1,-1,-1,0.0129643873384486,0.418,False,False,0.0906214957734988,0.424,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-002,"L.A. PRY. SCHOOL, ALADODO",132,490,True,-1,False,False,False,False,UNKNOWN,1,3,125,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677370229.pdf,"L.A. PRY. SCHOOL, ALADODO, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.392688,4.767194,0.1290267461726745,0.0832032313813185,-1,-1,-1,0.3215329146651776,0.08,False,False,0.6431659024145663,0.091,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-003,"ANG. PRY. SCHOOL, ALARERE",174,724,True,-1,False,False,False,False,UNKNOWN,7,0,165,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677371308.pdf,"ANG. PRY. SCHOOL, ALARERE, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.395267,4.688764,0.1290717582140834,0.0818343696489794,-1,-1,-1,-1.3210538412610422,0.012,True,True,-1.0552863139909008,0.008,True,False,True,-1,True,3
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-004,COURT HALL ITAPA,249,815,True,-1,False,False,False,False,UNKNOWN,6,0,238,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/004/004-1677370933.pdf,"COURT HALL ITAPA, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.4174486,4.763334,0.1294589001674438,0.0831358616721915,-1,-1,-1,0.5726540918813697,0.296,False,False,0.2198161681471763,0.32,False,False,False,-1,True,1
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-005,"MATERNITY CENTRE, ILORO",196,673,True,-1,False,False,False,False,UNKNOWN,81,0,113,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/005/005-1677371731.pdf,"MATERNITY CENTRE, ILORO, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.346617,4.722117,0.1282226555329882,0.082416489314397,-1,-1,-1,0.071317518977613,0.267,False,False,0.259770752297018,0.298,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-006,OPEN SPACE TEMIDIRE I,170,628,True,-1,False,False,False,False,UNKNOWN,7,0,157,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677372090.pdf,"OPEN SPACE TEMIDIRE I, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688,0.1289664921709079,0.0830003333651157,-1,-1,-1,-0.1113152194323233,0.429,False,False,-0.1006113542467034,0.416,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-007,"OPEN SPACE, TEMIDIRE II",171,554,True,-1,False,False,False,False,UNKNOWN,4,0,162,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/007/007-1677369401.pdf,"OPEN SPACE, TEMIDIRE II, ETI-ONI, ATAKUMOSA EAST, OSUN, Nigeria",7.3892357,4.7555688,0.1289664921709079,0.0830003333651157,-1,-1,-1,-0.1432656548257067,0.415,False,False,-0.1193677682568495,0.404,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-002,"L.A. PRY. SCHOOL, AJIDO",221,667,True,-1,False,False,False,False,UNKNOWN,71,0,144,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24394/pu/97068/97068-1677521849.pdf,"L.A. PRY. SCHOOL, AJIDO, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.464506,4.762519,0.1302802067348718,0.0831216372387878,-1,-1,1,-0.2476531762647259,0.277,False,False,-0.2886142795533034,0.261,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-004,C.A.C. PRY. SCHOOL AKANNI,84,379,True,-1,False,False,False,False,UNKNOWN,3,0,78,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/004/004-1677363161.pdf,"C.A.C. PRY. SCHOOL AKANNI, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.446358,4.790128,0.1299634643822199,0.0836035051919709,-1,-1,-1,0.1106342279910306,0.281,False,False,-0.2891283471603327,0.259,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-006,ITAMERIN,95,400,True,-1,True,False,False,False,UNKNOWN,29,0,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/006/006-1677423651.pdf,"ITAMERIN, AYEGUNLE, ATAKUMOSA EAST, OSUN, Nigeria",7.4664825,4.7795149,0.1303147031675375,0.0834182716531275,-1,-1,1,0.0403681411202713,0.467,False,False,-0.0563119223539569,0.452,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-003,SOKOTO I,213,591,True,-1,False,False,False,False,UNKNOWN,80,2,130,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/003/003-1677366589.pdf,"SOKOTO I, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731,0.1305010676797362,0.0835990563477076,1,1,1,0.0761182490070977,0.375,False,False,0.1284066772963633,0.398,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-005,SOKOTO S.B OJO,143,312,True,-1,False,False,False,False,UNKNOWN,68,0,75,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/005/005-1677365274.pdf,"SOKOTO S.B OJO, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731,0.1305010676797362,0.0835990563477076,1,1,1,-0.1470574766263833,0.221,False,False,0.3346127190730005,0.241,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-006,SOKOTO S.B OJO,143,312,True,-1,False,False,False,False,UNKNOWN,155,3,102,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/005/005-1677365274.pdf,"SOKOTO S.B OJO, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731,0.1305010676797362,0.0835990563477076,1,1,1,0.015870148550727,0.29,False,False,0.2333722694641569,0.313,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-007,OWADA,70,170,True,-1,False,False,False,False,UNKNOWN,34,1,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/007/007-1677367229.pdf,"OWADA, FOREST RESERVE  1, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731,0.1305010676797362,0.0835990563477076,1,1,1,-0.1549800189330805,0.374,False,False,0.1276354974802951,0.398,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-002,GRAMMAR SCHOOL ALAKA,252,619,True,-1,False,False,False,False,UNKNOWN,153,0,95,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/002/002-1677364614.pdf,"GRAMMAR SCHOOL ALAKA, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863,0.1288728587471969,0.0862242619261683,-1,-1,-1,0.0085655499730665,0.403,False,False,-0.1349200499386553,0.393,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-003,L.A. SCHOOL LABOSIPO,215,579,True,-1,False,False,False,False,UNKNOWN,122,0,92,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/003/003-1677363036.pdf,"L.A. SCHOOL LABOSIPO, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863,0.1288728587471969,0.0862242619261683,-1,-1,-1,0.0148172136368843,0.413,False,False,-0.1236729557683451,0.398,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-004,TIMOLAJA AROWOJOBE,235,607,True,-1,False,False,False,False,UNKNOWN,76,0,151,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/004/004-1677367605.pdf,"TIMOLAJA AROWOJOBE, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863,0.1288728587471969,0.0862242619261683,-1,-1,-1,-0.3413728623449167,0.233,False,False,-0.3449458673371415,0.221,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-005,L.A. SCHOOL AREWA,131,319,True,-1,False,False,False,False,UNKNOWN,56,1,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/005/005-1677383618.pdf,"L.A. SCHOOL AREWA, FOREST RESERVE  II, ATAKUMOSA EAST, OSUN, Nigeria",7.3838709,4.9402863,0.1288728587471969,0.0862242619261683,-1,-1,-1,0.024021993891748,0.476,False,False,-0.0486927655104288,0.454,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-004,AGBON JEGEDE,157,589,True,-1,False,False,False,False,UNKNOWN,3,0,149,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677361654.pdf,"AGBON JEGEDE, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062,0.127692754373461,0.0823342703439941,-1,-1,-1,-0.0496690048025526,0.472,False,False,-0.051814214735159,0.454,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-005,"SURAJU PRY. SCHOOL, ERINSEBIJA",109,380,True,-1,False,False,False,False,UNKNOWN,4,0,103,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/005/005-1677362122.pdf,"SURAJU PRY. SCHOOL, ERINSEBIJA, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062,0.127692754373461,0.0823342703439941,-1,-1,-1,0.0104695627883398,0.387,False,False,0.1206560731842175,0.4,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-006,COMM. PRY. SCHOOL OMI-ODO,88,229,True,-1,False,False,False,False,UNKNOWN,7,0,80,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/006/006-1677361775.pdf,"COMM. PRY. SCHOOL OMI-ODO, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062,0.127692754373461,0.0823342703439941,-1,-1,-1,-0.0714929258047433,0.314,False,False,0.2068911887695183,0.328,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-008,EHIN-OKE,77,208,True,-1,False,False,False,False,UNKNOWN,5,0,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/008/008-1677361607.pdf,"EHIN-OKE, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062,0.127692754373461,0.0823342703439941,-1,-1,-1,-0.1175087879696691,0.288,False,False,0.2368916336978345,0.31,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-002,"ST. JOHN'S PRY SCHOOL, ERINBURO",173,602,True,-1,False,False,False,False,UNKNOWN,6,2,165,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/002/002-1677367698.pdf,"ST. JOHN'S PRY SCHOOL, ERINBURO, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731,0.1305010676797362,0.0835990563477076,1,1,1,0.1603728258602877,0.375,False,False,0.1287341306714105,0.397,False,False,False,-1,True,1
